mode,monthOf,avg_wkd_rides
Northstar,2020-02-01,2416
Northstar,2020-03-01,1198
Northstar,2020-04-01,61
Northstar,2020-05-01,58
Northstar,2020-06-01,72
Northstar,2020-07-01,87
Northstar,2020-08-01,105
Northstar,2020-09-01,127
Northstar,2020-10-01,129
Northstar,2020-11-01,120
Northstar,2020-12-01,105
Northstar,2021-01-01,116
Northstar,2021-02-01,112
Northstar,2021-03-01,114
Northstar,2021-04-01,111
Northstar,2021-05-01,138
Northstar,2021-06-01,196
Northstar,2021-07-01,215
Northstar,2021-08-01,224
Northstar,2021-09-01,300
Northstar,2021-10-01,346
Northstar,2021-11-01,286
Northstar,2021-12-01,213
Northstar,2022-01-01,189
Northstar,2022-02-01,230
Northstar,2022-03-01,294
Northstar,2022-04-01,307
Northstar,2022-05-01,316
Northstar,2022-06-01,319
Northstar,2022-07-01,312
Northstar,2022-08-01,316
Northstar,2022-09-01,350
Orange Line,2021-12-01,536
Orange Line,2022-01-01,558
Orange Line,2022-02-01,670
Orange Line,2022-03-01,832
Orange Line,2022-04-01,940
Orange Line,2022-05-01,1014
Orange Line,2022-06-01,1118
Orange Line,2022-07-01,1184
Orange Line,2022-08-01,1203
Orange Line,2022-09-01,1294
Red Line,2020-12-01,299
Red Line,2021-01-01,299
Red Line,2021-02-01,280
Red Line,2021-03-01,321
Red Line,2021-04-01,307
Red Line,2021-05-01,322
Red Line,2021-06-01,373
Red Line,2021-07-01,372
Red Line,2021-08-01,393
Red Line,2021-09-01,404
Red Line,2021-10-01,415
Red Line,2021-11-01,413
Red Line,2021-12-01,340
Red Line,2022-01-01,282
Red Line,2022-02-01,296
Red Line,2022-03-01,320
Red Line,2022-04-01,352
Red Line,2022-05-01,367
Red Line,2022-06-01,377
Red Line,2022-07-01,368
Red Line,2022-08-01,370
Red Line,2022-09-01,383
Regular Bus,2019-01-01,148417
Regular Bus,2019-02-01,164083
Regular Bus,2019-03-01,172673
Regular Bus,2019-04-01,171457
Regular Bus,2019-05-01,171725
Regular Bus,2019-06-01,159054
Regular Bus,2019-07-01,153443
Regular Bus,2019-08-01,165249
Regular Bus,2019-09-01,171674
Regular Bus,2019-10-01,168319
Regular Bus,2019-11-01,163166
Regular Bus,2019-12-01,148685
Regular Bus,2020-01-01,151430
Regular Bus,2020-02-01,162625
Regular Bus,2020-03-01,103041
Regular Bus,2020-04-01,45144
Regular Bus,2020-05-01,45050
Regular Bus,2020-06-01,45757
Regular Bus,2020-07-01,58229
Regular Bus,2020-08-01,57840
Regular Bus,2020-09-01,56853
Regular Bus,2020-10-01,55998
Regular Bus,2020-11-01,55538
Regular Bus,2020-12-01,50573
Regular Bus,2021-01-01,50672
Regular Bus,2021-02-01,50037
Regular Bus,2021-03-01,55719
Regular Bus,2021-04-01,54975
Regular Bus,2021-05-01,57684
Regular Bus,2021-06-01,59070
Regular Bus,2021-07-01,59463
Regular Bus,2021-08-01,61559
Regular Bus,2021-09-01,76841
