"date","route","rides"
2008-09-22,3,11485
2008-09-23,3,11978
2008-09-24,3,11757
2008-09-25,3,11781
2008-09-26,3,9549
2008-09-27,3,3223
2008-09-28,3,2193
2008-09-29,3,11117
2008-09-30,3,11741
2008-10-01,3,11790
2008-10-02,3,11891
2008-10-03,3,10150
2008-10-04,3,3190
2008-10-05,3,2115
2008-10-06,3,11245
2008-10-07,3,12152
2008-10-08,3,11307
2008-10-09,3,11001
2008-10-10,3,9813
2008-10-11,3,3088
2008-10-12,3,2013
2008-10-13,3,11492
2008-10-14,3,11602
2008-10-15,3,11377
2008-10-16,3,10347
2008-10-17,3,9499
2008-10-18,3,3247
2008-10-19,3,2170
2008-10-20,3,11109
2008-10-21,3,11964
2008-10-22,3,12101
2008-10-23,3,11557
2008-10-24,3,9839
2008-10-25,3,2932
2008-10-26,3,1931
2008-10-27,3,11451
2008-10-28,3,11944
2008-10-29,3,11632
2008-10-30,3,11499
2008-10-31,3,9899
2008-11-01,3,3413
2008-11-02,3,2045
2008-11-03,3,11310
2008-11-04,3,10836
2008-11-05,3,11303
2008-11-06,3,11829
2008-11-07,3,10001
2008-11-08,3,3407
2008-11-09,3,1991
2008-11-10,3,11265
2008-11-11,3,11523
2008-11-12,3,12369
2008-11-13,3,11801
2008-11-14,3,9711
2008-11-15,3,2870
2008-11-16,3,2008
2008-11-17,3,11604
2008-11-18,3,11823
2008-11-19,3,11793
2008-11-20,3,11628
2008-11-21,3,10115
2008-11-22,3,3418
2008-11-23,3,2011
2008-11-24,3,11335
2008-11-25,3,11050
2008-11-26,3,8296
2008-11-27,3,877
2008-11-28,3,2141
2008-11-29,3,2254
2008-11-30,3,1788
2008-12-01,3,11658
2008-12-02,3,12048
2008-12-03,3,11697
2008-12-04,3,11555
2008-12-05,3,10079
2008-12-06,3,3030
2008-12-07,3,1979
2008-12-08,3,11618
2008-12-09,3,12144
2008-12-10,3,11250
2008-12-11,3,8491
2008-12-12,3,8619
2008-12-13,3,3846
2008-12-14,3,1979
2008-12-15,3,8573
2008-12-16,3,8632
2008-12-17,3,8693
2008-12-18,3,7979
2008-12-19,3,6473
2008-12-20,3,2297
2008-12-21,3,1592
2008-12-22,3,5108
2008-12-23,3,4929
2008-12-24,3,2375
2008-12-25,3,684
2008-12-26,3,2308
2008-12-27,3,1854
2008-12-28,3,1312
2008-12-29,3,5005
2008-12-30,3,4832
2008-12-31,3,4577
2009-01-01,3,1201
2009-01-02,3,4216
2009-01-03,3,2125
2009-01-04,3,1327
2009-01-05,3,6229
2009-01-06,3,6331
2009-01-07,3,6535
2009-01-08,3,6199
2009-01-09,3,6054
2009-01-10,3,2167
2009-01-11,3,1521
2009-01-12,3,6341
2009-01-13,3,6273
2009-01-14,3,6251
2009-01-15,3,5711
2009-01-16,3,6597
2009-01-17,3,2340
2009-01-18,3,1586
2009-01-19,3,3988
2009-01-20,3,12086
2009-01-21,3,12390
2009-01-22,3,12469
2009-01-23,3,10336
2009-01-24,3,2565
2009-01-25,3,1763
2009-01-26,3,11880
2009-01-27,3,12198
2009-01-28,3,12245
2009-01-29,3,12375
2009-01-30,3,10336
2009-01-31,3,3185
2009-02-01,3,1949
2009-02-02,3,12185
2009-02-03,3,12648
2009-02-04,3,12401
2009-02-05,3,12040
2009-02-06,3,10561
2009-02-07,3,3044
2009-02-08,3,1901
2009-02-09,3,12092
2009-02-10,3,12459
2009-02-11,3,12785
2009-02-12,3,12475
2009-02-13,3,10518
2009-02-14,3,3089
2009-02-15,3,1800
2009-02-16,3,10569
2009-02-17,3,12048
2009-02-18,3,12417
2009-02-19,3,12192
2009-02-20,3,10308
2009-02-21,3,2714
2009-02-22,3,2050
2009-02-23,3,11736
2009-02-24,3,12167
2009-02-25,3,12513
2009-02-26,3,10204
2009-02-27,3,10212
2009-02-28,3,2846
2009-03-01,3,1991
2009-03-02,3,11912
2009-03-03,3,12493
2009-03-04,3,12502
2009-03-05,3,12119
2009-03-06,3,10114
2009-03-07,3,2902
2009-03-08,3,1895
2009-03-09,3,12053
2009-03-10,3,11965
2009-03-11,3,12158
2009-03-12,3,11898
2009-03-13,3,9400
2009-03-14,3,2709
2009-03-15,3,1911
2009-03-16,3,6279
2009-03-17,3,6957
2009-03-18,3,6197
2009-03-19,3,6059
2009-03-20,3,5175
2009-03-21,3,2574
2009-03-22,3,1913
2009-03-23,3,10882
2009-03-24,3,11463
2009-03-25,3,11978
2009-03-26,3,11857
2009-03-27,3,9860
2009-03-28,3,2755
2009-03-29,3,1851
2009-03-30,3,11056
2009-03-31,3,10816
2009-04-01,3,11288
2009-04-02,3,10831
2009-04-03,3,9468
2009-04-04,3,2668
2009-04-05,3,1982
2009-04-06,3,11381
2009-04-07,3,11776
2009-04-08,3,11950
2009-04-09,3,10930
2009-04-10,3,8455
2009-04-11,3,2540
2009-04-12,3,1763
2009-04-13,3,10680
2009-04-14,3,11118
2009-04-15,3,11409
2009-04-16,3,10472
2009-04-17,3,9026
2009-04-18,3,3156
2009-04-19,3,1959
2009-04-20,3,11250
2009-04-21,3,10899
2009-04-22,3,11036
2009-04-23,3,10544
2009-04-24,3,9150
2009-04-25,3,3233
2009-04-26,3,1664
2009-04-27,3,10849
2009-04-28,3,10755
2009-04-29,3,11338
2009-04-30,3,10166
2009-05-01,3,9366
2009-05-02,3,3427
2009-05-03,3,2260
2009-05-04,3,10265
2009-05-05,3,10467
2009-05-06,3,10668
2009-05-07,3,10477
2009-05-08,3,8724
2009-05-09,3,2766
2009-05-10,3,1943
2009-05-11,3,8006
2009-05-12,3,9007
2009-05-13,3,8699
2009-05-14,3,8209
2009-05-15,3,7184
2009-05-16,3,2962
2009-05-17,3,1818
2009-05-18,3,6082
2009-05-19,3,6047
2009-05-20,3,5932
2009-05-21,3,5905
2009-05-22,3,5739
2009-05-23,3,2546
2009-05-24,3,1894
2009-05-25,3,2036
2009-05-26,3,5816
2009-05-27,3,6344
2009-05-28,3,6104
2009-05-29,3,5567
2009-05-30,3,2496
2009-05-31,3,1666
2009-06-01,3,6147
2009-06-02,3,6271
2009-06-03,3,6860
2009-06-04,3,6154
2009-06-05,3,5917
2009-06-06,3,1881
2009-06-07,3,1594
2009-06-08,3,5927
2009-06-09,3,5937
2009-06-10,3,6145
2009-06-11,3,6196
2009-06-12,3,6026
2009-06-13,3,2466
2009-06-14,3,1802
2009-06-15,3,5822
2009-06-16,3,5852
2009-06-17,3,6419
2009-06-18,3,6415
2009-06-19,3,5757
2009-06-20,3,2505
2009-06-21,3,1709
2009-06-22,3,6142
2009-06-23,3,5922
2009-06-24,3,6127
2009-06-25,3,6162
2009-06-26,3,5819
2009-06-27,3,2218
2009-06-28,3,1852
2009-06-29,3,6023
2009-06-30,3,6276
2009-07-01,3,6591
2009-07-02,3,6100
2009-07-03,3,2713
2009-07-04,3,1835
2009-07-05,3,1630
2009-07-06,3,5915
2009-07-07,3,6329
2009-07-08,3,6677
2009-07-09,3,6300
2009-07-10,3,6082
2009-07-11,3,2319
2009-07-12,3,1737
2009-07-13,3,6175
2009-07-14,3,5912
2009-07-15,3,6433
2009-07-16,3,5892
2009-07-17,3,5649
2009-07-18,3,2228
2009-07-19,3,1885
2009-07-20,3,6032
2009-07-21,3,6028
2009-07-22,3,6571
2009-07-23,3,6216
2009-07-24,3,5259
2009-07-25,3,2269
2009-07-26,3,1653
2009-07-27,3,5842
2009-07-28,3,6323
2009-07-29,3,6312
2009-07-30,3,5862
2009-07-31,3,5767
2009-08-01,3,2401
2009-08-02,3,1666
2009-08-03,3,6176
2009-08-04,3,6501
2009-08-05,3,6339
2009-08-06,3,6240
2009-08-07,3,5113
2009-08-08,3,2350
2009-08-09,3,1936
2009-08-10,3,6010
2009-08-11,3,6062
2009-08-12,3,6170
2009-08-13,3,5970
2009-08-14,3,5625
2009-08-15,3,2275
2009-08-16,3,1905
2009-08-17,3,5877
2009-08-18,3,6515
2009-08-19,3,5299
2009-08-20,3,5598
2009-08-21,3,5522
