"","MMSI","LON","LAT"
"494",366941830,-94.77557,29.33664
"495",366941830,-94.77567,29.33859
"496",316005971,-84.40323,46.50183
"497",316005971,-84.40325,46.50184
"498",338379253,-117.89592,33.61997
"499",366941830,-94.77736,29.33092
"500",316004054,-84.40179,46.50157
"501",366863870,-72.36149,41.09998
"502",366863870,-72.35817,41.08753
"503",316005971,-84.40323,46.50182
"504",368084090,-90.12726,29.91229
"505",366941830,-94.77867,29.32534
"506",366941830,-94.77828,29.32711
"507",366941830,-94.78533,29.34805
"508",366941830,-94.78931,29.35051
"509",368140160,-87.1443,30.33476
"510",368140160,-87.1443,30.33476
"511",366941830,-94.77782,29.32905
"512",368118150,-122.32989,47.39789
"513",368084090,-90.13651,29.92028
"514",368084090,-90.13355,29.91427
"515",366863870,-72.3587,41.09873
"516",368118150,-122.32993,47.39788
"517",338379253,-117.89591,33.61999
"518",367614790,-157.8782,21.31669
"519",368140160,-87.1443,30.33476
"520",316005971,-84.40323,46.50182
"521",366941830,-94.7798,29.34345
"522",367614790,-157.8782,21.31669
"523",368140160,-87.1443,30.33476
"524",368084090,-90.13716,29.92789
"525",368084090,-90.13668,29.92219
"526",366863870,-72.35888,41.09289
"527",338379253,-117.8959,33.61998
"528",367614790,-157.8782,21.31669
"529",368195460,-122.35832,37.73945
"530",316005971,-84.40325,46.50184
"531",368084090,-90.13938,29.94347
"532",366863870,-72.3615,41.1
"533",366863870,-72.35939,41.09681
"534",366863870,-72.36147,41.09998
"535",368084090,-90.13705,29.92589
"536",366941830,-94.79377,29.35289
"537",368195460,-122.35935,37.74125
"538",316005971,-84.40323,46.50184
"539",368140160,-87.1443,30.33476
"540",366863870,-72.36078,41.0998
"541",316005971,-84.40324,46.50185
"542",366863870,-72.35819,41.08756
"543",366941830,-94.79154,29.35172
"544",368084090,-90.13732,29.93563
"545",368084090,-90.13705,29.92985
"546",368140160,-87.1443,30.33476
"547",368118150,-122.32992,47.39787
"548",366863870,-72.3615,41.09997
"549",316005971,-84.40324,46.50184
"550",367614790,-157.87821,21.31669
"551",366863870,-72.35902,41.09489
"552",338379253,-117.8959,33.61998
"553",367614790,-157.8782,21.31669
"554",316005971,-84.40326,46.50187
"555",316005971,-84.40323,46.50183
"556",368084090,-90.13701,29.9319
"557",368084090,-90.13857,29.94154
"558",366863870,-72.35971,41.0986
"559",368140160,-87.1443,30.33476
"560",368195460,-122.35802,37.7385
"561",367614790,-157.87819,21.31668
"562",368084090,-90.14372,29.95289
"563",366941830,-94.79819,29.35506
"564",366941830,-94.81097,29.36077
"565",368118150,-122.3299,47.39789
"566",338379253,-117.89592,33.61999
"567",366863870,-72.35817,41.08777
"568",366863870,-72.35881,41.09075
"569",368084090,-90.14185,29.94908
"570",316005971,-84.40322,46.50182
"571",316005971,-84.40324,46.50185
"572",368084090,-90.07683,29.91894
"573",368118150,-122.32991,47.3979
"574",366941830,-94.80674,29.35879
"575",338379253,-117.89592,33.61998
