OBJECTID_1,FID_District_Council_Merge,objectid,districtnu,planning_1,FID_TransitRoutes,route,route_oper,RouteClass,routedscrp,routesort,RoutePayLe,EffectiveD,PayLeaveDi,wk_ftrip,wk_ltrip,wk_span,wk_trip_fr,sat_ftrip,sat_ltrip,sat_span,sat_trip_f,sun_ftrip,sun_ltrip,sun_span,sun_trip_f,fri_ftrip,fri_ltrip,fri_span,fri_trip_f,hol_ftrip,hol_ltrip,hol_span,hol_trip_f,Shape_Leng,Shape_Length
258,22,5,,University,144,991,M,Special,Blue Line Bus,991,0,2022-06-11,0,5:03:00 AM,7:48:00 AM,02:45,8,5:03:00 AM,7:48:00 AM,02:45,8,5:03:00 AM,7:49:00 AM,02:46,8, , , ,0, , , ,0,46294.91988,0.002463201057
259,24,7,,Powderhorn,144,991,M,Special,Blue Line Bus,991,0,2022-06-11,0,5:03:00 AM,7:48:00 AM,02:45,8,5:03:00 AM,7:48:00 AM,02:45,8,5:03:00 AM,7:49:00 AM,02:46,8, , , ,0, , , ,0,46294.91988,0.0262967674
260,25,8,,LongFellow,144,991,M,Special,Blue Line Bus,991,0,2022-06-11,0,5:03:00 AM,7:48:00 AM,02:45,8,5:03:00 AM,7:48:00 AM,02:45,8,5:03:00 AM,7:49:00 AM,02:46,8, , , ,0, , , ,0,46294.91988,0.03630918034
261,27,10,,Nokomis,144,991,M,Special,Blue Line Bus,991,0,2022-06-11,0,5:03:00 AM,7:48:00 AM,02:45,8,5:03:00 AM,7:48:00 AM,02:45,8,5:03:00 AM,7:49:00 AM,02:46,8, , , ,0, , , ,0,46294.91988,0.01009069865
262,28,11,,Phillips,144,991,M,Special,Blue Line Bus,991,0,2022-06-11,0,5:03:00 AM,7:48:00 AM,02:45,8,5:03:00 AM,7:48:00 AM,02:45,8,5:03:00 AM,7:49:00 AM,02:46,8, , , ,0, , , ,0,46294.91988,0.009307960537
263,1,18,11,Hamline - Midway,145,992,M,Special,Green Line Bus,992,0,2019-08-17,0,6:08:00 AM,10:42:00 AM,04:34,10,7:07:00 AM,12:02:00 PM,04:55,10,7:07:00 AM,12:02:00 PM,04:55,10, , , ,0, , , ,0,36209.7241,0.02562072262
264,5,22,12,Saint Anthony Park,145,992,M,Special,Green Line Bus,992,0,2019-08-17,0,6:08:00 AM,10:42:00 AM,04:34,10,7:07:00 AM,12:02:00 PM,04:55,10,7:07:00 AM,12:02:00 PM,04:55,10, , , ,0, , , ,0,36209.7241,0.01747493048
265,10,27,8,Summit - University,145,992,M,Special,Green Line Bus,992,0,2019-08-17,0,6:08:00 AM,10:42:00 AM,04:34,10,7:07:00 AM,12:02:00 PM,04:55,10,7:07:00 AM,12:02:00 PM,04:55,10, , , ,0, , , ,0,36209.7241,0.03810744553
266,11,28,7,Frogtown,145,992,M,Special,Green Line Bus,992,0,2019-08-17,0,6:08:00 AM,10:42:00 AM,04:34,10,7:07:00 AM,12:02:00 PM,04:55,10,7:07:00 AM,12:02:00 PM,04:55,10, , , ,0, , , ,0,36209.7241,0.05740333934
267,13,30,17,Downtown,145,992,M,Special,Green Line Bus,992,0,2019-08-17,0,6:08:00 AM,10:42:00 AM,04:34,10,7:07:00 AM,12:02:00 PM,04:55,10,7:07:00 AM,12:02:00 PM,04:55,10, , , ,0, , , ,0,36209.7241,0.01734859696
268,17,34,13,Union Park,145,992,M,Special,Green Line Bus,992,0,2019-08-17,0,6:08:00 AM,10:42:00 AM,04:34,10,7:07:00 AM,12:02:00 PM,04:55,10,7:07:00 AM,12:02:00 PM,04:55,10, , , ,0, , , ,0,36209.7241,0.03178771258
269,21,4,,Central,145,992,M,Special,Green Line Bus,992,0,2019-08-17,0,6:08:00 AM,10:42:00 AM,04:34,10,7:07:00 AM,12:02:00 PM,04:55,10,7:07:00 AM,12:02:00 PM,04:55,10, , , ,0, , , ,0,36209.7241,0.001216737614
270,22,5,,University,145,992,M,Special,Green Line Bus,992,0,2019-08-17,0,6:08:00 AM,10:42:00 AM,04:34,10,7:07:00 AM,12:02:00 PM,04:55,10,7:07:00 AM,12:02:00 PM,04:55,10, , , ,0, , , ,0,36209.7241,0.01705776258
271,22,5,,University,0,10,M,CoreLoc,Central Av - University Av - Northtown,10,0,2022-08-20,0,4:02:00 AM,1:33:00 AM,21:31,300,4:04:00 AM,1:31:00 AM,21:27,128,4:04:00 AM,1:31:00 AM,21:27,109, , , ,0, , , ,0,54465.58268,0.003502603393
272,22,5,,University,11,17,M,CoreLoc,Minnetonka Blvd - Uptown - Washington St NE,17,0,2022-06-11,0,4:36:00 AM,2:05:00 AM,21:29,268,5:01:00 AM,2:07:00 AM,21:06,104,5:01:00 AM,2:04:00 AM,21:03,74, , , ,0, , , ,0,46163.52256,0.003502603393
273,21,4,,Central,0,10,M,CoreLoc,Central Av - University Av - Northtown,10,0,2022-08-20,0,4:02:00 AM,1:33:00 AM,21:31,300,4:04:00 AM,1:31:00 AM,21:27,128,4:04:00 AM,1:31:00 AM,21:27,109, , , ,0, , , ,0,54465.58268,0.00834276798
274,21,4,,Central,20,25,M,CoreLoc,Northtown - Silver Lake - Stinson - Lake of Isles,25,0,2022-03-12,0,5:12:00 AM,7:44:00 PM,14:32,84,8:10:00 AM,7:22:00 PM,11:12,14, , , ,0, , , ,0, , , ,0,76069.74695,0.00834276798
275,19,2,,Northeast,0,10,M,CoreLoc,Central Av - University Av - Northtown,10,0,2022-08-20,0,4:02:00 AM,1:33:00 AM,21:31,300,4:04:00 AM,1:31:00 AM,21:27,128,4:04:00 AM,1:31:00 AM,21:27,109, , , ,0, , , ,0,54465.58268,0.0002011555442
276,19,2,,Northeast,29,32,M,SupportLoc,Robbinsdale - Lowry Av - Rosedale,32,0,2022-08-20,0,6:14:00 AM,9:50:00 PM,15:36,120,7:15:00 AM,9:51:00 PM,14:36,53,7:15:00 AM,8:19:00 PM,13:04,49, , , ,0, , , ,0,30567.89051,0.0002011555442
277,26,9,,Southwest,1,11,M,CoreLoc,Columbia Heights - 2nd St NE - 4th Av S,11,0,2022-06-11,0,4:28:00 AM,1:36:00 AM,21:08,266,4:31:00 AM,1:32:00 AM,21:01,117,4:38:00 AM,1:32:00 AM,20:54,69, , , ,0, , , ,0,38241.55379,0.008767367238
278,26,9,,Southwest,12,18,M,CoreLoc,Nicollet Av - South Bloomington,18,0,2022-08-20,0,4:07:00 AM,1:44:00 AM,21:37,316,4:07:00 AM,1:39:00 AM,21:32,153,4:06:00 AM,1:40:00 AM,21:34,147, , , ,0, , , ,0,43158.17352,0.008767367238
279,24,7,,Powderhorn,1,11,M,CoreLoc,Columbia Heights - 2nd St NE - 4th Av S,11,0,2022-06-11,0,4:28:00 AM,1:36:00 AM,21:08,266,4:31:00 AM,1:32:00 AM,21:01,117,4:38:00 AM,1:32:00 AM,20:54,69, , , ,0, , , ,0,38241.55379,0.006896215932
280,24,7,,Powderhorn,19,23,M,SupportLoc,Uptown - 38th St - Highland Village,23,0,2022-08-20,0,4:27:00 AM,11:56:00 PM,19:29,160,4:59:00 AM,11:56:00 PM,18:57,71,4:59:00 AM,11:56:00 PM,18:57,66, , , ,0, , , ,0,26072.25293,0.006896215932
281,19,2,,Northeast,1,11,M,CoreLoc,Columbia Heights - 2nd St NE - 4th Av S,11,0,2022-06-11,0,4:28:00 AM,1:36:00 AM,21:08,266,4:31:00 AM,1:32:00 AM,21:01,117,4:38:00 AM,1:32:00 AM,20:54,69, , , ,0, , , ,0,38241.55379,0.004703884049
282,19,2,,Northeast,29,32,M,SupportLoc,Robbinsdale - Lowry Av - Rosedale,32,0,2022-08-20,0,6:14:00 AM,9:50:00 PM,15:36,120,7:15:00 AM,9:51:00 PM,14:36,53,7:15:00 AM,8:19:00 PM,13:04,49, , , ,0, , , ,0,30567.89051,0.004703884049
283,26,9,,Southwest,1,11,M,CoreLoc,Columbia Heights - 2nd St NE - 4th Av S,11,0,2022-06-11,0,4:28:00 AM,1:36:00 AM,21:08,266,4:31:00 AM,1:32:00 AM,21:01,117,4:38:00 AM,1:32:00 AM,20:54,69, , , ,0, , , ,0,38241.55379,0.008650635218
284,26,9,,Southwest,45,46,M,SupportLoc,50St - 46St - 46St Sta - Highland Village,46,0,2022-08-20,0,6:25:00 AM,10:57:00 PM,16:32,128, , , ,0, , , ,0, , , ,0, , , ,0,36845.85737,0.008650635218
285,27,10,,Nokomis,1,11,M,CoreLoc,Columbia Heights - 2nd St NE - 4th Av S,11,0,2022-06-11,0,4:28:00 AM,1:36:00 AM,21:08,266,4:31:00 AM,1:32:00 AM,21:01,117,4:38:00 AM,1:32:00 AM,20:54,69, , , ,0, , , ,0,38241.55379,0.01366352866
286,27,10,,Nokomis,45,46,M,SupportLoc,50St - 46St - 46St Sta - Highland Village,46,0,2022-08-20,0,6:25:00 AM,10:57:00 PM,16:32,128, , , ,0, , , ,0, , , ,0, , , ,0,36845.85737,0.01366352866
287,21,4,,Central,1,11,M,CoreLoc,Columbia Heights - 2nd St NE - 4th Av S,11,0,2022-06-11,0,4:28:00 AM,1:36:00 AM,21:08,266,4:31:00 AM,1:32:00 AM,21:01,117,4:38:00 AM,1:32:00 AM,20:54,69, , , ,0, , , ,0,38241.55379,0.002628889773
288,21,4,,Central,114,781,M,CommExpress,Maple Grove - Express - Maple Grove Station,781,-1,2022-08-20,4,5:02:00 AM,7:13:00 PM,14:11,64, , , ,0, , , ,0, , , ,0, , , ,0,58009.6701,0.002628889773
289,21,4,,Central,2,113,M,CommExpress,Ltd Stop - Grand Av S - Lyndale Av S - U of M,113,-1,2022-03-26,1,6:51:00 AM,6:20:00 PM,11:29,20, , , ,0, , , ,0, , , ,0, , , ,0,26968.31464,0.005535051976
290,21,4,,Central,3,114,M,CommExpress,Ltd Stop - Excelsior Blvd - Uptown - U of M,114,-1,2022-03-26,1,7:01:00 AM,6:09:00 PM,11:08,28, , , ,0, , , ,0, , , ,0, , , ,0,20379.014,0.005535051976
291,21,4,,Central,2,113,M,CommExpress,Ltd Stop - Grand Av S - Lyndale Av S - U of M,113,-1,2022-03-26,1,6:51:00 AM,6:20:00 PM,11:29,20, , , ,0, , , ,0, , , ,0, , , ,0,26968.31464,0.003082539156
292,21,4,,Central,4,115,M,CommExpress,Ltd Stop - Grand Av S - Uptown - Hennepin - U of M,115,-1,2022-03-26,1,6:10:00 PM,7:43:00 PM,01:33,4, , , ,0, , , ,0, , , ,0, , , ,0,12923.31477,0.003082539156
293,23,6,,Calhoun Isles,2,113,M,CommExpress,Ltd Stop - Grand Av S - Lyndale Av S - U of M,113,-1,2022-03-26,1,6:51:00 AM,6:20:00 PM,11:29,20, , , ,0, , , ,0, , , ,0, , , ,0,26968.31464,0.001988139521
294,23,6,,Calhoun Isles,4,115,M,CommExpress,Ltd Stop - Grand Av S - Uptown - Hennepin - U of M,115,-1,2022-03-26,1,6:10:00 PM,7:43:00 PM,01:33,4, , , ,0, , , ,0, , , ,0, , , ,0,12923.31477,0.001988139521
295,26,9,,Southwest,2,113,M,CommExpress,Ltd Stop - Grand Av S - Lyndale Av S - U of M,113,-1,2022-03-26,1,6:51:00 AM,6:20:00 PM,11:29,20, , , ,0, , , ,0, , , ,0, , , ,0,26968.31464,0.01075622011
296,26,9,,Southwest,4,115,M,CommExpress,Ltd Stop - Grand Av S - Uptown - Hennepin - U of M,115,-1,2022-03-26,1,6:10:00 PM,7:43:00 PM,01:33,4, , , ,0, , , ,0, , , ,0, , , ,0,12923.31477,0.01075622011
297,21,4,,Central,2,113,M,CommExpress,Ltd Stop - Grand Av S - Lyndale Av S - U of M,113,-1,2022-03-26,1,6:51:00 AM,6:20:00 PM,11:29,20, , , ,0, , , ,0, , , ,0, , , ,0,26968.31464,0.0006509860655
298,21,4,,Central,34,4,M,CoreLoc,Johnson St - Lyndale Av - Penn Av - Southtown,4,0,2022-08-20,0,4:17:00 AM,1:49:00 AM,21:32,260,4:18:00 AM,1:48:00 AM,21:30,119,4:18:00 AM,1:48:00 AM,21:30,74, , , ,0, , , ,0,66488.60636,0.0006509860655
299,23,6,,Calhoun Isles,2,113,M,CommExpress,Ltd Stop - Grand Av S - Lyndale Av S - U of M,113,-1,2022-03-26,1,6:51:00 AM,6:20:00 PM,11:29,20, , , ,0, , , ,0, , , ,0, , , ,0,26968.31464,0.009667412894
300,23,6,,Calhoun Isles,34,4,M,CoreLoc,Johnson St - Lyndale Av - Penn Av - Southtown,4,0,2022-08-20,0,4:17:00 AM,1:49:00 AM,21:32,260,4:18:00 AM,1:48:00 AM,21:30,119,4:18:00 AM,1:48:00 AM,21:30,74, , , ,0, , , ,0,66488.60636,0.009667412894
301,23,6,,Calhoun Isles,2,113,M,CommExpress,Ltd Stop - Grand Av S - Lyndale Av S - U of M,113,-1,2022-03-26,1,6:51:00 AM,6:20:00 PM,11:29,20, , , ,0, , , ,0, , , ,0, , , ,0,26968.31464,0.0000002203339022
302,24,7,,Powderhorn,2,113,M,CommExpress,Ltd Stop - Grand Av S - Lyndale Av S - U of M,113,-1,2022-03-26,1,6:51:00 AM,6:20:00 PM,11:29,20, , , ,0, , , ,0, , , ,0, , , ,0,26968.31464,0.0000002203339022
303,23,6,,Calhoun Isles,34,4,M,CoreLoc,Johnson St - Lyndale Av - Penn Av - Southtown,4,0,2022-08-20,0,4:17:00 AM,1:49:00 AM,21:32,260,4:18:00 AM,1:48:00 AM,21:30,119,4:18:00 AM,1:48:00 AM,21:30,74, , , ,0, , , ,0,66488.60636,0.0000002203339022
304,24,7,,Powderhorn,34,4,M,CoreLoc,Johnson St - Lyndale Av - Penn Av - Southtown,4,0,2022-08-20,0,4:17:00 AM,1:49:00 AM,21:32,260,4:18:00 AM,1:48:00 AM,21:30,119,4:18:00 AM,1:48:00 AM,21:30,74, , , ,0, , , ,0,66488.60636,0.0000002203339022
305,24,7,,Powderhorn,2,113,M,CommExpress,Ltd Stop - Grand Av S - Lyndale Av S - U of M,113,-1,2022-03-26,1,6:51:00 AM,6:20:00 PM,11:29,20, , , ,0, , , ,0, , , ,0, , , ,0,26968.31464,0.03719411244
306,24,7,,Powderhorn,34,4,M,CoreLoc,Johnson St - Lyndale Av - Penn Av - Southtown,4,0,2022-08-20,0,4:17:00 AM,1:49:00 AM,21:32,260,4:18:00 AM,1:48:00 AM,21:30,119,4:18:00 AM,1:48:00 AM,21:30,74, , , ,0, , , ,0,66488.60636,0.03719411244
307,26,9,,Southwest,2,113,M,CommExpress,Ltd Stop - Grand Av S - Lyndale Av S - U of M,113,-1,2022-03-26,1,6:51:00 AM,6:20:00 PM,11:29,20, , , ,0, , , ,0, , , ,0, , , ,0,26968.31464,0.03459033191
308,26,9,,Southwest,34,4,M,CoreLoc,Johnson St - Lyndale Av - Penn Av - Southtown,4,0,2022-08-20,0,4:17:00 AM,1:49:00 AM,21:32,260,4:18:00 AM,1:48:00 AM,21:30,119,4:18:00 AM,1:48:00 AM,21:30,74, , , ,0, , , ,0,66488.60636,0.03459033191
309,23,6,,Calhoun Isles,3,114,M,CommExpress,Ltd Stop - Excelsior Blvd - Uptown - U of M,114,-1,2022-03-26,1,7:01:00 AM,6:09:00 PM,11:08,28, , , ,0, , , ,0, , , ,0, , , ,0,20379.014,0.004893479889
310,23,6,,Calhoun Isles,19,23,M,SupportLoc,Uptown - 38th St - Highland Village,23,0,2022-08-20,0,4:27:00 AM,11:56:00 PM,19:29,160,4:59:00 AM,11:56:00 PM,18:57,71,4:59:00 AM,11:56:00 PM,18:57,66, , , ,0, , , ,0,26072.25293,0.004893479889
311,26,9,,Southwest,3,114,M,CommExpress,Ltd Stop - Excelsior Blvd - Uptown - U of M,114,-1,2022-03-26,1,7:01:00 AM,6:09:00 PM,11:08,28, , , ,0, , , ,0, , , ,0, , , ,0,20379.014,0.007578086071
312,26,9,,Southwest,19,23,M,SupportLoc,Uptown - 38th St - Highland Village,23,0,2022-08-20,0,4:27:00 AM,11:56:00 PM,19:29,160,4:59:00 AM,11:56:00 PM,18:57,71,4:59:00 AM,11:56:00 PM,18:57,66, , , ,0, , , ,0,26072.25293,0.007578086071
313,23,6,,Calhoun Isles,3,114,M,CommExpress,Ltd Stop - Excelsior Blvd - Uptown - U of M,114,-1,2022-03-26,1,7:01:00 AM,6:09:00 PM,11:08,28, , , ,0, , , ,0, , , ,0, , , ,0,20379.014,0.01037175145
314,23,6,,Calhoun Isles,75,6,M,CoreLoc,U of M - Hennepin - Xerxes - France - Southdale,6,0,2022-03-26,0,4:21:00 AM,1:44:00 AM,21:23,312,4:20:00 AM,1:45:00 AM,21:25,146,5:40:00 AM,1:44:00 AM,20:04,134, , , ,0, , , ,0,66283.18529,0.01037175145
315,23,6,,Calhoun Isles,4,115,M,CommExpress,Ltd Stop - Grand Av S - Uptown - Hennepin - U of M,115,-1,2022-03-26,1,6:10:00 PM,7:43:00 PM,01:33,4, , , ,0, , , ,0, , , ,0, , , ,0,12923.31477,0.006060059042
316,23,6,,Calhoun Isles,11,17,M,CoreLoc,Minnetonka Blvd - Uptown - Washington St NE,17,0,2022-06-11,0,4:36:00 AM,2:05:00 AM,21:29,268,5:01:00 AM,2:07:00 AM,21:06,104,5:01:00 AM,2:04:00 AM,21:03,74, , , ,0, , , ,0,46163.52256,0.006060059042
317,22,5,,University,5,120,P,Special,U of M - East Bank Circulator,120,0,2020-09-12,0,6:00:00 AM,5:45:00 PM,11:45,35, , , ,0, , , ,0, , , ,0, , , ,0,3712.672388,0.006097165458
318,22,5,,University,6,121,P,Special,U of M - Campus Connector,121,0,2020-09-12,0,7:00:00 AM,2:20:00 AM,19:20,323,8:20:00 AM,2:20:00 AM,18:00,108,9:20:00 AM,12:35:00 AM,15:15,90, , , ,0, , , ,0,13471.66569,0.006097165458
319,22,5,,University,5,120,P,Special,U of M - East Bank Circulator,120,0,2020-09-12,0,6:00:00 AM,5:45:00 PM,11:45,35, , , ,0, , , ,0, , , ,0, , , ,0,3712.672388,0.003427589196
320,22,5,,University,7,122,P,Special,U of M - University Ave Circulator,122,0,2020-09-12,0,7:00:00 AM,2:15:00 AM,19:15,99,9:30:00 AM,2:15:00 AM,16:45,67,9:30:00 AM,12:30:00 AM,15:00,60, , , ,0, , , ,0,8248.071783,0.003427589196
321,22,5,,University,6,121,P,Special,U of M - Campus Connector,121,0,2020-09-12,0,7:00:00 AM,2:20:00 AM,19:20,323,8:20:00 AM,2:20:00 AM,18:00,108,9:20:00 AM,12:35:00 AM,15:15,90, , , ,0, , , ,0,13471.66569,0.003999902943
322,22,5,,University,8,123,P,Special,U of M - 4th Street Circulator,123,0,2020-09-12,0,7:00:00 AM,6:10:00 PM,11:10,67, , , ,0, , , ,0, , , ,0, , , ,0,5978.219217,0.003999902943
323,5,22,12,Saint Anthony Park,6,121,P,Special,U of M - Campus Connector,121,0,2020-09-12,0,7:00:00 AM,2:20:00 AM,19:20,323,8:20:00 AM,2:20:00 AM,18:00,108,9:20:00 AM,12:35:00 AM,15:15,90, , , ,0, , , ,0,13471.66569,0.0007728602297
324,5,22,12,Saint Anthony Park,9,124,P,Special,U of M - Saint Paul Circulator,124,0,2020-09-12,0,7:00:00 AM,6:15:00 PM,11:15,34, , , ,0, , , ,0, , , ,0, , , ,0,4825.524682,0.0007728602297
325,22,5,,University,6,121,P,Special,U of M - Campus Connector,121,0,2020-09-12,0,7:00:00 AM,2:20:00 AM,19:20,323,8:20:00 AM,2:20:00 AM,18:00,108,9:20:00 AM,12:35:00 AM,15:15,90, , , ,0, , , ,0,13471.66569,0.00246230887
326,22,5,,University,27,3,M,CoreLoc,U of M - Como Av - Energy Park Dr - Maryland Av,3,0,2022-08-20,0,4:01:00 AM,2:16:00 AM,22:15,369,4:01:00 AM,2:11:00 AM,22:10,133,4:01:00 AM,2:05:00 AM,22:04,75, , , ,0, , , ,0,49665.9277,0.00246230887
327,22,5,,University,6,121,P,Special,U of M - Campus Connector,121,0,2020-09-12,0,7:00:00 AM,2:20:00 AM,19:20,323,8:20:00 AM,2:20:00 AM,18:00,108,9:20:00 AM,12:35:00 AM,15:15,90, , , ,0, , , ,0,13471.66569,0.001463544553
328,22,5,,University,75,6,M,CoreLoc,U of M - Hennepin - Xerxes - France - Southdale,6,0,2022-03-26,0,4:21:00 AM,1:44:00 AM,21:23,312,4:20:00 AM,1:45:00 AM,21:25,146,5:40:00 AM,1:44:00 AM,20:04,134, , , ,0, , , ,0,66283.18529,0.001463544553
329,22,5,,University,7,122,P,Special,U of M - University Ave Circulator,122,0,2020-09-12,0,7:00:00 AM,2:15:00 AM,19:15,99,9:30:00 AM,2:15:00 AM,16:45,67,9:30:00 AM,12:30:00 AM,15:00,60, , , ,0, , , ,0,8248.071783,0.0009560746741
330,22,5,,University,8,123,P,Special,U of M - 4th Street Circulator,123,0,2020-09-12,0,7:00:00 AM,6:10:00 PM,11:10,67, , , ,0, , , ,0, , , ,0, , , ,0,5978.219217,0.0009560746741
331,22,5,,University,7,122,P,Special,U of M - University Ave Circulator,122,0,2020-09-12,0,7:00:00 AM,2:15:00 AM,19:15,99,9:30:00 AM,2:15:00 AM,16:45,67,9:30:00 AM,12:30:00 AM,15:00,60, , , ,0, , , ,0,8248.071783,0.002350615462
332,22,5,,University,27,3,M,CoreLoc,U of M - Como Av - Energy Park Dr - Maryland Av,3,0,2022-08-20,0,4:01:00 AM,2:16:00 AM,22:15,369,4:01:00 AM,2:11:00 AM,22:10,133,4:01:00 AM,2:05:00 AM,22:04,75, , , ,0, , , ,0,49665.9277,0.002350615462
333,5,22,12,Saint Anthony Park,9,124,P,Special,U of M - Saint Paul Circulator,124,0,2020-09-12,0,7:00:00 AM,6:15:00 PM,11:15,34, , , ,0, , , ,0, , , ,0, , , ,0,4825.524682,0.006818527486
334,5,22,12,Saint Anthony Park,27,3,M,CoreLoc,U of M - Como Av - Energy Park Dr - Maryland Av,3,0,2022-08-20,0,4:01:00 AM,2:16:00 AM,22:15,369,4:01:00 AM,2:11:00 AM,22:10,133,4:01:00 AM,2:05:00 AM,22:04,75, , , ,0, , , ,0,49665.9277,0.006818527486
335,24,7,,Powderhorn,10,14,M,CoreLoc,Robbinsdale-West Broadway-Bloomington Av-66St/Ceda,14,0,2022-08-20,0,4:20:00 AM,1:36:00 AM,21:16,228,4:28:00 AM,12:34:00 AM,20:06,92,4:28:00 AM,12:34:00 AM,20:06,92, , , ,0, , , ,0,66218.7541,0.01084368755
336,24,7,,Powderhorn,16,22,M,CoreLoc,Brooklyn Ctr - Lyndale Av N - Cedar - 28 Av S - VA,22,0,2022-08-20,0,4:22:00 AM,1:51:00 AM,21:29,230,5:02:00 AM,1:51:00 AM,20:49,73,5:02:00 AM,1:51:00 AM,20:49,73, , , ,0, , , ,0,60978.40547,0.01084368755
337,24,7,,Powderhorn,10,14,M,CoreLoc,Robbinsdale-West Broadway-Bloomington Av-66St/Ceda,14,0,2022-08-20,0,4:20:00 AM,1:36:00 AM,21:16,228,4:28:00 AM,12:34:00 AM,20:06,92,4:28:00 AM,12:34:00 AM,20:06,92, , , ,0, , , ,0,66218.7541,0.01175415558
338,24,7,,Powderhorn,19,23,M,SupportLoc,Uptown - 38th St - Highland Village,23,0,2022-08-20,0,4:27:00 AM,11:56:00 PM,19:29,160,4:59:00 AM,11:56:00 PM,18:57,71,4:59:00 AM,11:56:00 PM,18:57,66, , , ,0, , , ,0,26072.25293,0.01175415558
339,20,3,,Near North,10,14,M,CoreLoc,Robbinsdale-West Broadway-Bloomington Av-66St/Ceda,14,0,2022-08-20,0,4:20:00 AM,1:36:00 AM,21:16,228,4:28:00 AM,12:34:00 AM,20:06,92,4:28:00 AM,12:34:00 AM,20:06,92, , , ,0, , , ,0,66218.7541,0.00003285991308
340,20,3,,Near North,27,3,M,CoreLoc,U of M - Como Av - Energy Park Dr - Maryland Av,3,0,2022-08-20,0,4:01:00 AM,2:16:00 AM,22:15,369,4:01:00 AM,2:11:00 AM,22:10,133,4:01:00 AM,2:05:00 AM,22:04,75, , , ,0, , , ,0,49665.9277,0.00003285991308
341,21,4,,Central,10,14,M,CoreLoc,Robbinsdale-West Broadway-Bloomington Av-66St/Ceda,14,0,2022-08-20,0,4:20:00 AM,1:36:00 AM,21:16,228,4:28:00 AM,12:34:00 AM,20:06,92,4:28:00 AM,12:34:00 AM,20:06,92, , , ,0, , , ,0,66218.7541,0.01907478022
342,21,4,,Central,27,3,M,CoreLoc,U of M - Como Av - Energy Park Dr - Maryland Av,3,0,2022-08-20,0,4:01:00 AM,2:16:00 AM,22:15,369,4:01:00 AM,2:11:00 AM,22:10,133,4:01:00 AM,2:05:00 AM,22:04,75, , , ,0, , , ,0,49665.9277,0.01907478022
343,20,3,,Near North,10,14,M,CoreLoc,Robbinsdale-West Broadway-Bloomington Av-66St/Ceda,14,0,2022-08-20,0,4:20:00 AM,1:36:00 AM,21:16,228,4:28:00 AM,12:34:00 AM,20:06,92,4:28:00 AM,12:34:00 AM,20:06,92, , , ,0, , , ,0,66218.7541,0.06188313609
344,20,3,,Near North,28,30,P,SupportLoc,Broadway Crosstown - Westgate Sta,30,0,2021-08-21,0,5:15:00 AM,10:47:00 PM,17:32,64,6:55:00 AM,9:23:00 PM,14:28,50,6:55:00 AM,9:23:00 PM,14:28,50, , , ,0, , , ,0,27682.85568,0.06188313609
345,24,7,,Powderhorn,10,14,M,CoreLoc,Robbinsdale-West Broadway-Bloomington Av-66St/Ceda,14,0,2022-08-20,0,4:20:00 AM,1:36:00 AM,21:16,228,4:28:00 AM,12:34:00 AM,20:06,92,4:28:00 AM,12:34:00 AM,20:06,92, , , ,0, , , ,0,66218.7541,0.02660457463
346,24,7,,Powderhorn,45,46,M,SupportLoc,50St - 46St - 46St Sta - Highland Village,46,0,2022-08-20,0,6:25:00 AM,10:57:00 PM,16:32,128, , , ,0, , , ,0, , , ,0, , , ,0,36845.85737,0.02660457463
347,20,3,,Near North,10,14,M,CoreLoc,Robbinsdale-West Broadway-Bloomington Av-66St/Ceda,14,0,2022-08-20,0,4:20:00 AM,1:36:00 AM,21:16,228,4:28:00 AM,12:34:00 AM,20:06,92,4:28:00 AM,12:34:00 AM,20:06,92, , , ,0, , , ,0,66218.7541,0.001522639233
348,20,3,,Near North,62,5,M,CoreLoc,Brooklyn Ctr - Fremont - 26th Av - Chicago - MOA,5,0,2022-03-26,0,3:53:00 AM,1:49:00 AM,21:56,432,3:50:00 AM,1:48:00 AM,21:58,175,3:50:00 AM,1:37:00 AM,21:47,142, , , ,0, , , ,0,58282.58156,0.001522639233
349,27,10,,Nokomis,10,14,M,CoreLoc,Robbinsdale-West Broadway-Bloomington Av-66St/Ceda,14,0,2022-08-20,0,4:20:00 AM,1:36:00 AM,21:16,228,4:28:00 AM,12:34:00 AM,20:06,92,4:28:00 AM,12:34:00 AM,20:06,92, , , ,0, , , ,0,66218.7541,0.0007798468506
350,27,10,,Nokomis,62,5,M,CoreLoc,Brooklyn Ctr - Fremont - 26th Av - Chicago - MOA,5,0,2022-03-26,0,3:53:00 AM,1:49:00 AM,21:56,432,3:50:00 AM,1:48:00 AM,21:58,175,3:50:00 AM,1:37:00 AM,21:47,142, , , ,0, , , ,0,58282.58156,0.0007798468506
351,28,11,,Phillips,10,14,M,CoreLoc,Robbinsdale-West Broadway-Bloomington Av-66St/Ceda,14,0,2022-08-20,0,4:20:00 AM,1:36:00 AM,21:16,228,4:28:00 AM,12:34:00 AM,20:06,92,4:28:00 AM,12:34:00 AM,20:06,92, , , ,0, , , ,0,66218.7541,0.0008783776164
352,28,11,,Phillips,86,67,P,CoreLoc,W Minnehaha Av - Raymond Sta - Franklin Av,67,0,2022-03-26,0,5:58:00 AM,10:13:00 PM,16:15,60,7:48:00 AM,9:00:00 PM,13:12,51,7:44:00 AM,8:56:00 PM,13:12,48, , , ,0, , , ,0,30473.14818,0.0008783776164
