OBJECTID_1,FID_District_Council_Merge,objectid,districtnu,planning_1,FID_TransitRoutes,route,route_oper,RouteClass,routedscrp,routesort,RoutePayLe,EffectiveD,PayLeaveDi,wk_ftrip,wk_ltrip,wk_span,wk_trip_fr,sat_ftrip,sat_ltrip,sat_span,sat_trip_f,sun_ftrip,sun_ltrip,sun_span,sun_trip_f,fri_ftrip,fri_ltrip,fri_span,fri_trip_f,hol_ftrip,hol_ltrip,hol_span,hol_trip_f,Shape_Leng,Shape_Length
31,21,4,,Central,11,17,M,CoreLoc,Minnetonka Blvd - Uptown - Washington St NE,17,0,2022-06-11,0,4:36:00 AM,2:05:00 AM,21:29,268,5:01:00 AM,2:07:00 AM,21:06,104,5:01:00 AM,2:04:00 AM,21:03,74, , , ,0, , , ,0,46163.52256,0.001000693377
32,22,5,,University,11,17,M,CoreLoc,Minnetonka Blvd - Uptown - Washington St NE,17,0,2022-06-11,0,4:36:00 AM,2:05:00 AM,21:29,268,5:01:00 AM,2:07:00 AM,21:06,104,5:01:00 AM,2:04:00 AM,21:03,74, , , ,0, , , ,0,46163.52256,0.002213275391
33,23,6,,Calhoun Isles,11,17,M,CoreLoc,Minnetonka Blvd - Uptown - Washington St NE,17,0,2022-06-11,0,4:36:00 AM,2:05:00 AM,21:29,268,5:01:00 AM,2:07:00 AM,21:06,104,5:01:00 AM,2:04:00 AM,21:03,74, , , ,0, , , ,0,46163.52256,0.03333193794
34,24,7,,Powderhorn,11,17,M,CoreLoc,Minnetonka Blvd - Uptown - Washington St NE,17,0,2022-06-11,0,4:36:00 AM,2:05:00 AM,21:29,268,5:01:00 AM,2:07:00 AM,21:06,104,5:01:00 AM,2:04:00 AM,21:03,74, , , ,0, , , ,0,46163.52256,0.01731623936
35,21,4,,Central,12,18,M,CoreLoc,Nicollet Av - South Bloomington,18,0,2022-08-20,0,4:07:00 AM,1:44:00 AM,21:37,316,4:07:00 AM,1:39:00 AM,21:32,153,4:06:00 AM,1:40:00 AM,21:34,147, , , ,0, , , ,0,43158.17352,0.0002399713432
36,24,7,,Powderhorn,12,18,M,CoreLoc,Nicollet Av - South Bloomington,18,0,2022-08-20,0,4:07:00 AM,1:44:00 AM,21:37,316,4:07:00 AM,1:39:00 AM,21:32,153,4:06:00 AM,1:40:00 AM,21:34,147, , , ,0, , , ,0,43158.17352,0.04705969566
37,26,9,,Southwest,12,18,M,CoreLoc,Nicollet Av - South Bloomington,18,0,2022-08-20,0,4:07:00 AM,1:44:00 AM,21:37,316,4:07:00 AM,1:39:00 AM,21:32,153,4:06:00 AM,1:40:00 AM,21:34,147, , , ,0, , , ,0,43158.17352,0.08844466684
38,21,4,,Central,13,2,M,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,2,0,2022-08-20,0,4:47:00 AM,1:22:00 AM,20:35,278,4:39:00 AM,1:27:00 AM,20:48,125,4:39:00 AM,12:56:00 AM,20:17,109, , , ,0, , , ,0,19712.39726,0.02361246077
39,22,5,,University,13,2,M,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,2,0,2022-08-20,0,4:47:00 AM,1:22:00 AM,20:35,278,4:39:00 AM,1:27:00 AM,20:48,125,4:39:00 AM,12:56:00 AM,20:17,109, , , ,0, , , ,0,19712.39726,0.01515607995
40,23,6,,Calhoun Isles,13,2,M,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,2,0,2022-08-20,0,4:47:00 AM,1:22:00 AM,20:35,278,4:39:00 AM,1:27:00 AM,20:48,125,4:39:00 AM,12:56:00 AM,20:17,109, , , ,0, , , ,0,19712.39726,0.01047658518
41,24,7,,Powderhorn,13,2,M,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,2,0,2022-08-20,0,4:47:00 AM,1:22:00 AM,20:35,278,4:39:00 AM,1:27:00 AM,20:48,125,4:39:00 AM,12:56:00 AM,20:17,109, , , ,0, , , ,0,19712.39726,0.001605876927
42,28,11,,Phillips,13,2,M,CoreLoc,Franklin Av - Riverside Av - U of M - 8th St SE,2,0,2022-08-20,0,4:47:00 AM,1:22:00 AM,20:35,278,4:39:00 AM,1:27:00 AM,20:48,125,4:39:00 AM,12:56:00 AM,20:17,109, , , ,0, , , ,0,19712.39726,0.00315514286
43,16,33,1,Battle Creek - Conway - Eastview - Highwood Hills,15,219,P,SuburbLoc,Maplewood - Century Av - Hadley Av - Sunray,219,0,2022-03-26,0,5:43:00 AM,10:03:00 PM,16:20,34,6:14:00 AM,8:06:00 PM,13:52,28, , , ,0, , , ,0, , , ,0,40823.12591,0.01786043679
44,18,1,,Camden,16,22,M,CoreLoc,Brooklyn Ctr - Lyndale Av N - Cedar - 28 Av S - VA,22,0,2022-08-20,0,4:22:00 AM,1:51:00 AM,21:29,230,5:02:00 AM,1:51:00 AM,20:49,73,5:02:00 AM,1:51:00 AM,20:49,73, , , ,0, , , ,0,60978.40547,0.09592351484
45,20,3,,Near North,16,22,M,CoreLoc,Brooklyn Ctr - Lyndale Av N - Cedar - 28 Av S - VA,22,0,2022-08-20,0,4:22:00 AM,1:51:00 AM,21:29,230,5:02:00 AM,1:51:00 AM,20:49,73,5:02:00 AM,1:51:00 AM,20:49,73, , , ,0, , , ,0,60978.40547,0.04039181549
46,21,4,,Central,16,22,M,CoreLoc,Brooklyn Ctr - Lyndale Av N - Cedar - 28 Av S - VA,22,0,2022-08-20,0,4:22:00 AM,1:51:00 AM,21:29,230,5:02:00 AM,1:51:00 AM,20:49,73,5:02:00 AM,1:51:00 AM,20:49,73, , , ,0, , , ,0,60978.40547,0.002167208205
47,22,5,,University,16,22,M,CoreLoc,Brooklyn Ctr - Lyndale Av N - Cedar - 28 Av S - VA,22,0,2022-08-20,0,4:22:00 AM,1:51:00 AM,21:29,230,5:02:00 AM,1:51:00 AM,20:49,73,5:02:00 AM,1:51:00 AM,20:49,73, , , ,0, , , ,0,60978.40547,0.002310567419
48,24,7,,Powderhorn,16,22,M,CoreLoc,Brooklyn Ctr - Lyndale Av N - Cedar - 28 Av S - VA,22,0,2022-08-20,0,4:22:00 AM,1:51:00 AM,21:29,230,5:02:00 AM,1:51:00 AM,20:49,73,5:02:00 AM,1:51:00 AM,20:49,73, , , ,0, , , ,0,60978.40547,0.04123876437
49,25,8,,LongFellow,16,22,M,CoreLoc,Brooklyn Ctr - Lyndale Av N - Cedar - 28 Av S - VA,22,0,2022-08-20,0,4:22:00 AM,1:51:00 AM,21:29,230,5:02:00 AM,1:51:00 AM,20:49,73,5:02:00 AM,1:51:00 AM,20:49,73, , , ,0, , , ,0,60978.40547,0.002231011691
50,27,10,,Nokomis,16,22,M,CoreLoc,Brooklyn Ctr - Lyndale Av N - Cedar - 28 Av S - VA,22,0,2022-08-20,0,4:22:00 AM,1:51:00 AM,21:29,230,5:02:00 AM,1:51:00 AM,20:49,73,5:02:00 AM,1:51:00 AM,20:49,73, , , ,0, , , ,0,60978.40547,0.08938716715
51,28,11,,Phillips,16,22,M,CoreLoc,Brooklyn Ctr - Lyndale Av N - Cedar - 28 Av S - VA,22,0,2022-08-20,0,4:22:00 AM,1:51:00 AM,21:29,230,5:02:00 AM,1:51:00 AM,20:49,73,5:02:00 AM,1:51:00 AM,20:49,73, , , ,0, , , ,0,60978.40547,0.01302586529
52,3,20,15,Highland Park,19,23,M,SupportLoc,Uptown - 38th St - Highland Village,23,0,2022-08-20,0,4:27:00 AM,11:56:00 PM,19:29,160,4:59:00 AM,11:56:00 PM,18:57,71,4:59:00 AM,11:56:00 PM,18:57,66, , , ,0, , , ,0,26072.25293,0.0006832196256
53,23,6,,Calhoun Isles,19,23,M,SupportLoc,Uptown - 38th St - Highland Village,23,0,2022-08-20,0,4:27:00 AM,11:56:00 PM,19:29,160,4:59:00 AM,11:56:00 PM,18:57,71,4:59:00 AM,11:56:00 PM,18:57,66, , , ,0, , , ,0,26072.25293,0.002211508867
54,24,7,,Powderhorn,19,23,M,SupportLoc,Uptown - 38th St - Highland Village,23,0,2022-08-20,0,4:27:00 AM,11:56:00 PM,19:29,160,4:59:00 AM,11:56:00 PM,18:57,71,4:59:00 AM,11:56:00 PM,18:57,66, , , ,0, , , ,0,26072.25293,0.03552259771
55,25,8,,LongFellow,19,23,M,SupportLoc,Uptown - 38th St - Highland Village,23,0,2022-08-20,0,4:27:00 AM,11:56:00 PM,19:29,160,4:59:00 AM,11:56:00 PM,18:57,71,4:59:00 AM,11:56:00 PM,18:57,66, , , ,0, , , ,0,26072.25293,0.07537725515
56,26,9,,Southwest,19,23,M,SupportLoc,Uptown - 38th St - Highland Village,23,0,2022-08-20,0,4:27:00 AM,11:56:00 PM,19:29,160,4:59:00 AM,11:56:00 PM,18:57,71,4:59:00 AM,11:56:00 PM,18:57,66, , , ,0, , , ,0,26072.25293,0.02940388824
57,19,2,,Northeast,20,25,M,CoreLoc,Northtown - Silver Lake - Stinson - Lake of Isles,25,0,2022-03-12,0,5:12:00 AM,7:44:00 PM,14:32,84,8:10:00 AM,7:22:00 PM,11:12,14, , , ,0, , , ,0, , , ,0,76069.74695,0.03173746788
58,21,4,,Central,20,25,M,CoreLoc,Northtown - Silver Lake - Stinson - Lake of Isles,25,0,2022-03-12,0,5:12:00 AM,7:44:00 PM,14:32,84,8:10:00 AM,7:22:00 PM,11:12,14, , , ,0, , , ,0, , , ,0,76069.74695,0.0190499323
59,22,5,,University,20,25,M,CoreLoc,Northtown - Silver Lake - Stinson - Lake of Isles,25,0,2022-03-12,0,5:12:00 AM,7:44:00 PM,14:32,84,8:10:00 AM,7:22:00 PM,11:12,14, , , ,0, , , ,0, , , ,0,76069.74695,0.01318034542
60,23,6,,Calhoun Isles,20,25,M,CoreLoc,Northtown - Silver Lake - Stinson - Lake of Isles,25,0,2022-03-12,0,5:12:00 AM,7:44:00 PM,14:32,84,8:10:00 AM,7:22:00 PM,11:12,14, , , ,0, , , ,0, , , ,0,76069.74695,0.08388959846
