ID,TYPE,CORRIDOR,YR_START1,YR_END1,YR_START2,PRIV_ROW,Shape_Leng
148,Streetcar,South St Paul,1914,1933,0,TRUE,1560.94744301
149,Streetcar,South St Paul,1914,1928,0,TRUE,4446.00463852
360,Streetcar,South St Paul,1891,19501954,0,FALSE,4625.2726427
364,Streetcar,StPaul_Minneapolis,1890,19501954,0,FALSE,16581.1524477
97,Streetcar,Stryker Ave,1894,1948,0,FALSE,1297.97870607
249,Streetcar,Stryker Ave,1890,19501954,0,FALSE,2636.37939686
8,Streetcar,Washington Ave N,1890,19501954,0,FALSE,7065.74540819
111,Streetcar,Washington Ave N,1913,1925,0,FALSE,600.041590484
169,Streetcar,Washington Ave N,1899,1925,0,FALSE,834.899328065
170,Streetcar,Washington Ave N,1925,1947,0,FALSE,1687.72117482
171,Streetcar,Washington Ave N,1899,1947,0,FALSE,572.960741628
94,Streetcar,Western,1914,1941,0,FALSE,962.364691643
362,Streetcar,Western,1891,19501954,0,FALSE,3157.76293839
30,Streetcar,NW Terminal,1920,1948,0,FALSE,921.837216009
30,Streetcar,NW Terminal,1920,1948,0,TRUE,689.082511525
14,Streetcar,Glenwood Ave,1916,19501954,0,FALSE,786.415865638
14,Streetcar,Glenwood Ave,1916,19501954,0,TRUE,138.302008839
55,Streetcar,Kenwood_StLouisPark,1892,1938,0,FALSE,3975.02143505
55,Streetcar,Kenwood_StLouisPark,1892,1938,0,FALSE,695.822955955
55,Streetcar,Kenwood_StLouisPark,1892,1938,0,TRUE,815.759763276
394,Streetcar,Como_Harriet_Oak_Xer,1907,1932,0,FALSE,545.043169354
394,Streetcar,Como_Harriet_Oak_Xer,1907,1932,0,TRUE,2039.50928348
154,Streetcar,Como_Harriet_Oak_Xer,1883,19501954,0,FALSE,292.061974795
154,Streetcar,Como_Harriet_Oak_Xer,1883,19501954,0,TRUE,961.139272139
386,Streetcar,Robbinsdale,1891,1914,1914,FALSE,1309.09958968
386,Streetcar,Robbinsdale,1891,1914,1914,TRUE,708.917065224
44,Streetcar,Bryant Ave S,1931,19501954,0,FALSE,663.831415326
44,Streetcar,Bryant Ave S,1931,19501954,0,FALSE,408.843704544
44,Streetcar,Bryant Ave S,1931,19501954,0,TRUE,133.343535274
251,Streetcar,Minnehaha,1891,19501954,0,FALSE,4696.48702149
251,Streetcar,Minnehaha,1891,19501954,0,TRUE,719.802834678
162,Streetcar,Phalen,1905,19501954,0,FALSE,846.774450012
162,Streetcar,Phalen,1905,19501954,0,TRUE,557.79399159
237,Streetcar,Hazel Park,1890,19501954,0,FALSE,1985.98172365
237,Streetcar,Hazel Park,1890,19501954,0,TRUE,15492.6528316
0,Streetcar,,1906,1932,0,TRUE,9679.04377467
0,Streetcar,,1913,1947,0,TRUE,4786.5874292
0,Streetcar,,1904,1932,0,TRUE,4466.82838993
0,Streetcar,,1899,1932,0,TRUE,11677.4375886
0,Streetcar,,1913,1942,0,FALSE,19424.4358049
0,Streetcar,,1905,1932,0,FALSE,4037.14854287
0,Streetcar,,1899,1932,0,FALSE,2348.73595611
0,Streetcar,,0,19501954,0,FALSE,648.533314394
0,Streetcar,,1899,1932,0,FALSE,343.434870568
0,Streetcar,,1899,1932,0,FALSE,1658.7878625
0,Streetcar,,0,19501954,0,FALSE,523.464857747
0,Streetcar,,1898,1907,0,FALSE,3631.25923039
0,Streetcar,,1906,19501954,0,FALSE,405.751398582
0,Streetcar,South St Paul,1914,19501954,0,FALSE,8343.84189898
0,Streetcar,U of M Transitway,0,19501954,0,FALSE,5648.11067853
0,Streetcar,U of M Transitway,0,19501954,0,FALSE,326.124024346
0,Streetcar,,0,19501954,0,FALSE,614.021263883
0,Freight,,0,19501954,0,TRUE,1491.65482516
0,Streetcar,South St Paul,1914,19501954,0,FALSE,552.446350943
0,Streetcar,U of M Transitway,0,19501954,0,TRUE,152.762594042
33,Streetcar,Como_Harriet_Oak_Xer,1914,19501954,0,FALSE,123.914819701
