ID,TYPE,CORRIDOR,YR_START1,YR_END1,YR_START2,PRIV_ROW,Shape_Leng
27,Horsecar,,1881,1891,0,FALSE,1558.90517746
27,Horsecar,,1881,1891,0,FALSE,935.533353128
39,Horsecar,,1880,1891,0,FALSE,1038.04377516
39,Horsecar,,1880,1891,0,FALSE,959.211166543
0,Horsecar,,0,1891,0,FALSE,619.496387704
0,Horsecar,,1875,1878,0,FALSE,260.991732809
0,Horsecar,,1875,1878,0,FALSE,382.313941222
0,Horsecar,,1875,1877,0,FALSE,693.79547199
0,Horsecar,,1877,1878,0,FALSE,375.005367455
0,Horsecar,,1877,1880,0,FALSE,417.737583791
29,Horsecar,,1884,1890,0,FALSE,394.632807915
29,Horsecar,,1884,1891,0,FALSE,802.456615222
29,Horsecar,,1880,1891,0,FALSE,716.092186853
29,Horsecar,,1880,1890,0,FALSE,381.928134476
36,Horsecar,,1882,1891,0,FALSE,1279.7913856
36,Horsecar,,1882,1891,0,FALSE,1331.17991654
36,Horsecar,,1882,1891,0,FALSE,696.025944799
14,Horsecar,,1884,1891,0,FALSE,2838.02535687
14,Horsecar,,1884,1890,0,FALSE,408.396836998
14,Horsecar,,1884,1887,0,FALSE,3045.8605929
14,Horsecar,,1884,1890,0,FALSE,790.578117086
0,Horsecar,,0,1891,0,FALSE,117.070564629
0,Horsecar,,0,1891,0,FALSE,113.058999998
0,Horsecar,,1880,1890,0,FALSE,648.612535112
0,Horsecar,,1880,1891,0,FALSE,376.889112262
0,Horsecar,,1886,1891,0,FALSE,358.020199999
52,Horsecar,,1886,1891,0,FALSE,499.703419602
49,Horsecar,,1888,1890,0,FALSE,403.472586531
49,Horsecar,,1888,1891,0,FALSE,2023.18428359
0,Horsecar,,1888,1891,0,FALSE,186.447832991
0,Ferry,,0,19501954,0,FALSE,13351.5350897
0,Ferry,,0,19501954,0,FALSE,15837.8499263
0,Ferry,,0,19501954,0,FALSE,3223.4453392
35,1948 Bus Route,,0,19501954,0,FALSE,7090.54182006
51,1948 Bus Route,,0,19501954,0,FALSE,11944.8794792
53,1948 Bus Route,,0,19501954,0,FALSE,1312.98755146
32,1948 Bus Route,,0,19501954,0,FALSE,4095.90674431
32,1948 Bus Route,,0,19501954,0,FALSE,228.577410469
34,1948 Bus Route,,0,19501954,0,FALSE,1004.46652917
34,1948 Bus Route,,0,19501954,0,FALSE,1966.20157826
29,1948 Bus Route,,0,19501954,0,FALSE,1740.84253605
42,1948 Bus Route,,0,19501954,0,FALSE,6380.89735308
30,1948 Bus Route,,0,19501954,0,FALSE,5560.11052576
33,1948 Bus Route,,0,19501954,0,FALSE,9640.05186181
28,1948 Bus Route,,0,19501954,0,FALSE,2463.7800106
52,1948 Bus Route,,0,19501954,0,FALSE,4331.38813765
31,1948 Bus Route,,0,19501954,0,FALSE,6906.57831416
33,1948 Bus Route,,0,19501954,0,FALSE,6003.51958412
41,1948 Bus Route,,0,19501954,0,FALSE,15633.3461484
48,1948 Bus Route,,0,19501954,0,FALSE,8231.69838681
46,1948 Bus Route,,0,19501954,0,FALSE,9771.87203894
37,1948 Bus Route,,0,19501954,0,FALSE,3802.09904322
